inventory_id	source_area	source_file	parsha	perek	pasuk_start	pasuk_end	pasuk_ref	skill	subskill	question_type	standard_id	source_status	extraction_status	teacher_review_status	protected_preview_status	reviewed_bank_status	runtime_status	evidence_artifacts	blocker_reason	safe_next_use	recommended_next_gate
ceinv_011	verified_source_skill_map	data/verified_source_skill_maps/bereishis_3_17_to_3_24_source_to_skill_map.tsv	Bereishis	3	17	24		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_3_17_to_3_24_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_012	verified_source_skill_map	data/verified_source_skill_maps/bereishis_3_1_to_3_7_source_to_skill_map.tsv	Bereishis	3	1	7		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_3_1_to_3_7_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_013	verified_source_skill_map	data/verified_source_skill_maps/bereishis_3_8_to_3_16_source_to_skill_map.tsv	Bereishis	3	8	16		phrase_translation				source_to_skill_map_present	verified_or_review_tracked	map_verification_artifacts_present	protected_preview_allowed_rows=0	reviewed_bank_allowed_rows=0	runtime_allowed_rows=0	data/verified_source_skill_maps/bereishis_3_8_to_3_16_source_to_skill_map.tsv	verification is not question approval	extraction_verified_planning_only	build_or_review_candidate_packet
ceinv_014	protected_preview_candidates	data/gate_2_protected_preview_candidates/bereishis_perek_2_protected_preview_candidates.tsv	Bereishis	2				basic_noun_recognition		source_discovery_or_protected_preview_candidate				unknown=10	candidate_layer_present	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_candidates/bereishis_perek_2_protected_preview_candidates.tsv	protected preview candidate is not reviewed bank or runtime approval	protected_preview_ready	build_limited_internal_packet_or_record_observation
ceinv_015	protected_preview_candidates	data/gate_2_protected_preview_candidates/bereishis_perek_3_protected_preview_candidates.tsv	Bereishis	3				basic_noun_recognition		source_discovery_or_protected_preview_candidate				unknown=10	candidate_layer_present	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_candidates/bereishis_perek_3_protected_preview_candidates.tsv	protected preview candidate is not reviewed bank or runtime approval	protected_preview_ready	build_limited_internal_packet_or_record_observation
ceinv_016	protected_preview_candidates	data/gate_2_protected_preview_candidates/bereishis_perek_4_protected_preview_candidate_planning.tsv	Bereishis	4				basic_noun_recognition		source_discovery_or_protected_preview_candidate				unknown=4	candidate_layer_present	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_candidates/bereishis_perek_4_protected_preview_candidate_planning.tsv	protected preview candidate is not reviewed bank or runtime approval	protected_preview_ready	build_limited_internal_packet_or_record_observation
ceinv_017	protected_preview_candidates	data/gate_2_protected_preview_candidates/bereishis_perek_4_protected_preview_candidate_review.tsv	Bereishis	4				basic_noun_recognition		source_discovery_or_protected_preview_candidate				unknown=4	candidate_layer_present	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_candidates/bereishis_perek_4_protected_preview_candidate_review.tsv	protected preview candidate is not reviewed bank or runtime approval	protected_preview_ready	build_limited_internal_packet_or_record_observation
ceinv_018	protected_preview_candidates	data/gate_2_protected_preview_candidates/bereishis_perek_5_6_protected_preview_candidate_review.tsv	Bereishis	5				basic_noun_recognition		source_discovery_or_protected_preview_candidate				approve_for_internal_protected_preview_packet=2; approve_with_revision=5	candidate_layer_present	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_candidates/bereishis_perek_5_6_protected_preview_candidate_review.tsv	protected preview candidate is not reviewed bank or runtime approval	protected_preview_ready	build_limited_internal_packet_or_record_observation
ceinv_019	protected_preview_packet	data/gate_2_protected_preview_packets/bereishis_perek_2_internal_protected_preview_packet.tsv	Bereishis	2				basic_noun_recognition		internal_protected_preview_packet					packet_rows=10	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_packets/bereishis_perek_2_internal_protected_preview_packet.tsv	internal protected preview is not runtime activation	protected_preview_ready	teacher_observation_or_revision_gate
ceinv_020	protected_preview_packet	data/gate_2_protected_preview_packets/bereishis_perek_3_internal_protected_preview_packet.tsv	Bereishis	3				basic_noun_recognition		internal_protected_preview_packet					packet_rows=4	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_packets/bereishis_perek_3_internal_protected_preview_packet.tsv	internal protected preview is not runtime activation	protected_preview_ready	teacher_observation_or_revision_gate
ceinv_021	protected_preview_packet	data/gate_2_protected_preview_packets/bereishis_perek_4_internal_protected_preview_packet.tsv	Bereishis	4				basic_noun_recognition		internal_protected_preview_packet					packet_rows=4	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_packets/bereishis_perek_4_internal_protected_preview_packet.tsv	internal protected preview is not runtime activation	protected_preview_ready	teacher_observation_or_revision_gate
ceinv_022	protected_preview_packet	data/gate_2_protected_preview_packets/bereishis_perek_4_two_item_limited_internal_packet_iteration.tsv	Bereishis	4				basic_noun_recognition		internal_protected_preview_packet					packet_rows=2	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_packets/bereishis_perek_4_two_item_limited_internal_packet_iteration.tsv	internal protected preview is not runtime activation	protected_preview_ready	teacher_observation_or_revision_gate
ceinv_023	protected_preview_packet	data/gate_2_protected_preview_packets/bereishis_perek_5_6_clean_two_item_limited_packet_iteration.tsv	Bereishis	5				basic_noun_recognition		internal_protected_preview_packet					packet_rows=2	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_packets/bereishis_perek_5_6_clean_two_item_limited_packet_iteration.tsv	internal protected preview is not runtime activation	protected_preview_ready	teacher_observation_or_revision_gate
ceinv_024	protected_preview_packet	data/gate_2_protected_preview_packets/bereishis_perek_5_6_mixed_limited_internal_review_packet.tsv	Bereishis	5				basic_noun_recognition		internal_protected_preview_packet					packet_rows=5	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_packets/bereishis_perek_5_6_mixed_limited_internal_review_packet.tsv	internal protected preview is not runtime activation	protected_preview_ready	teacher_observation_or_revision_gate
ceinv_025	protected_preview_packet	data/gate_2_protected_preview_packets/bereishis_perek_5_6_small_internal_protected_preview_packet.tsv	Bereishis	5				basic_noun_recognition		internal_protected_preview_packet					packet_rows=2	not_reviewed_bank	not_runtime_active	data/gate_2_protected_preview_packets/bereishis_perek_5_6_small_internal_protected_preview_packet.tsv	internal protected preview is not runtime activation	protected_preview_ready	teacher_observation_or_revision_gate
ceinv_026	curriculum_extraction_batch	data/curriculum_extraction/curriculum_extraction_manifest.json	mixed									draft_needs_review	draft_needs_review	needs_review	not_protected_preview	not_reviewed_bank	not_runtime_active		extraction verification is not question approval	pending_teacher_review	teacher_review_packet_or_candidate_packet
ceinv_027	curriculum_extraction_batch	data/curriculum_extraction/curriculum_extraction_manifest.json	Bereishis	1			Bereishis 1:1-1:5					cleaned_seed_reviewed_non_runtime	reviewed	reviewed	not_protected_preview	not_reviewed_bank	not_runtime_active	data/curriculum_extraction/reports/batch_001_summary.md; data/curriculum_extraction/reports/batch_001_manual_review_packet.md	extraction verification is not question approval	extraction_verified_planning_only	teacher_review_packet_or_candidate_packet
ceinv_028	curriculum_extraction_batch	data/curriculum_extraction/curriculum_extraction_manifest.json	Bereishis	1			Bereishis 1:6-2:3					extracted_needs_review	needs_review	needs_review	not_protected_preview	not_reviewed_bank	not_runtime_active	data/curriculum_extraction/reports/batch_002_summary.md; data/curriculum_extraction/reports/batch_002_preview_summary.md	extraction verification is not question approval	pending_teacher_review	teacher_review_packet_or_candidate_packet
ceinv_029	curriculum_extraction_batch	data/curriculum_extraction/curriculum_extraction_manifest.json	Bereishis	2			Bereishis 2:4-2:25					extracted_needs_review	needs_review	needs_review	not_protected_preview	not_reviewed_bank	not_runtime_active	data/curriculum_extraction/reports/batch_003_summary.md; data/curriculum_extraction/reports/batch_003_preview_summary.md	extraction verification is not question approval	pending_teacher_review	teacher_review_packet_or_candidate_packet
ceinv_030	curriculum_extraction_batch	data/curriculum_extraction/curriculum_extraction_manifest.json	Bereishis	3			Bereishis 3:1-3:24					reviewed_for_planning_non_runtime	reviewed	reviewed	not_protected_preview	not_reviewed_bank	not_runtime_active	data/curriculum_extraction/reports/batch_004_summary.md; data/curriculum_extraction/reports/batch_004_preview_summary.md; data/curriculum_extraction/reports/batch_004_manual_review_packet.md; data/curriculum_extraction/reports/batch_004_review_resolution.md	extraction verification is not question approval	extraction_verified_planning_only	teacher_review_packet_or_candidate_packet
ceinv_031	curriculum_extraction_batch	data/curriculum_extraction/curriculum_extraction_manifest.json	Bereishis	4			Bereishis 4:1-4:16					reviewed_for_planning_non_runtime	reviewed	reviewed	not_protected_preview	not_reviewed_bank	not_runtime_active	data/curriculum_extraction/reports/batch_005_summary.md; data/curriculum_extraction/reports/batch_005_preview_summary.md; data/curriculum_extraction/reports/batch_005_manual_review_packet.md; data/curriculum_extraction/reports/batch_005_review_resolution.md	extraction verification is not question approval	extraction_verified_planning_only	teacher_review_packet_or_candidate_packet
ceinv_032	zekelman_standard_3_reviewed_bank	data/standards/zekelman/reviewed_bank/standard_3_mvp_reviewed_bank.json						10 reviewed-bank records			Zekelman Standard 3	standard_3_review_artifacts_present		standard_3_teacher_review_layer_present	standard_3_protected_preview_review_complete	standard_3_reviewed_bank_artifact_present	not_runtime_active_for_content_expansion_gate	data/standards/zekelman/reports/standard_3_reviewed_bank_promotion_report.md	standard reviewed-bank planning does not authorize this branch to activate runtime content	reviewed_bank_candidate	separate_standard_3_runtime_activation_gate_if_authorized
ceinv_033	diagnostic_preview	data/diagnostic_preview/reports/bereishis_1_1_to_2_3_preview_summary.json	Bereishis	1-2	1	3				diagnostic_preview		diagnostic_preview_artifacts_present	preview_generation_optional_test_has_known_failure	manual_review_packet_present	diagnostic_preview_only	not_reviewed_bank	not_runtime_active	data/diagnostic_preview/reports/bereishis_1_1_to_2_3_manual_review_packet.md	diagnostic preview is not runtime activation; optional generation test failed pre-implementation	blocked	fix_diagnostic_preview_generation_idempotency_before_using_as_expansion_basis
