candidate_id,parent_candidate_id,ref,hebrew_token,parent_phrase,proposed_zekelman_standard,canonical_skill_id,canonical_standard_anchor,evidence_note,confidence,current_status,recommended_decision,yossi_decision,yossi_notes
stdtok_b1_24_31_014,std_b1_25_r007,Bereishis 1:25,ארץ,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_015,std_b1_25_r007,Bereishis 1:25,ל,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Prefix in למינה remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_016,std_b1_25_r009,Bereishis 1:25,את,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Direct-object marker token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_017,std_b1_25_r009,Bereishis 1:25,רמש,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_018,std_b1_25_r009,Bereishis 1:25,אדמה,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_019,std_b1_25_r009,Bereishis 1:25,ל,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Prefix/suffix handling in למינהו remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_020,std_b1_26_r014,Bereishis 1:26,וירדו,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.07,VERB.TENSE.FUTURE,3.07,Verb-form/stem interpretation remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_021,std_b1_26_r014,Bereishis 1:26,דגת,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Construct noun token remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_022,std_b1_26_r014,Bereishis 1:26,ים,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_023,std_b1_26_r014,Bereishis 1:26,עוף,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_024,std_b1_26_r014,Bereishis 1:26,שמים,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_025,std_b1_26_r015,Bereishis 1:26,בהמה,וּבַבְּהֵמָה וּבְכָל הָאָרֶץ וּבְכָל הָרֶמֶשׂ הָרֹמֵשׂ עַל הָאָרֶץ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_026,std_b1_26_r015,Bereishis 1:26,ארץ,וּבַבְּהֵמָה וּבְכָל הָאָרֶץ וּבְכָל הָרֶמֶשׂ הָרֹמֵשׂ עַל הָאָרֶץ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_027,std_b1_26_r015,Bereishis 1:26,רמש,וּבַבְּהֵמָה וּבְכָל הָאָרֶץ וּבְכָל הָרֶמֶשׂ הָרֹמֵשׂ עַל הָאָרֶץ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_028,std_b1_26_r015,Bereishis 1:26,על,וּבַבְּהֵמָה וּבְכָל הָאָרֶץ וּבְכָל הָרֶמֶשׂ הָרֹמֵשׂ עַל הָאָרֶץ,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Preposition standards mapping remains delicate.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_029,std_b1_27_r016,Bereishis 1:27,ויברא,וַיִּבְרָא אֱלֹקִים אֶת הָאָדָם בְּצַלְמוֹ,3.07,VERB.TENSE.FUTURE,3.07,Narrative verb-form mapping remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_030,std_b1_27_r016,Bereishis 1:27,את,וַיִּבְרָא אֱלֹקִים אֶת הָאָדָם בְּצַלְמוֹ,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Direct-object marker token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_031,std_b1_27_r016,Bereishis 1:27,אדם,וַיִּבְרָא אֱלֹקִים אֶת הָאָדָם בְּצַלְמוֹ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_032,std_b1_27_r016,Bereishis 1:27,צלם,וַיִּבְרָא אֱלֹקִים אֶת הָאָדָם בְּצַלְמוֹ,3.02,ROOT.IDENTIFY,3.02,Root mapping from compound בצלמו remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_033,std_b1_28_r020,Bereishis 1:28,פרו,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,3.07,VERB.TENSE.FUTURE,3.07,Imperative/verb-form evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_034,std_b1_28_r020,Bereishis 1:28,רבו,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,3.07,VERB.TENSE.FUTURE,3.07,Imperative/verb-form evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_035,std_b1_28_r020,Bereishis 1:28,מלאו,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,3.07,VERB.TENSE.FUTURE,3.07,Imperative/verb-form evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_036,std_b1_28_r020,Bereishis 1:28,את,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Direct-object marker token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_037,std_b1_28_r020,Bereishis 1:28,ארץ,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_038,std_b1_28_r022,Bereishis 1:28,רדו,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.07,VERB.TENSE.FUTURE,3.07,Verb-form/stem interpretation remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_039,std_b1_28_r022,Bereishis 1:28,דגת,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Construct noun token remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_040,std_b1_28_r022,Bereishis 1:28,ים,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_041,std_b1_28_r022,Bereishis 1:28,עוף,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_042,std_b1_28_r022,Bereishis 1:28,שמים,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_043,std_b1_29_r026,Bereishis 1:29,את,אֶת כָּל עֵשֶׂב זֹרֵעַ זֶרַע,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Direct-object marker token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_044,std_b1_29_r026,Bereishis 1:29,עשב,אֶת כָּל עֵשֶׂב זֹרֵעַ זֶרַע,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_045,std_b1_29_r026,Bereishis 1:29,זרע,אֶת כָּל עֵשֶׂב זֹרֵעַ זֶרַע,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_046,std_b1_29_r028,Bereishis 1:29,את,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Direct-object marker token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_047,std_b1_29_r028,Bereishis 1:29,עץ,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_048,std_b1_29_r028,Bereishis 1:29,פרי,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_049,std_b1_29_r028,Bereishis 1:29,זרע,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_050,std_b1_30_r032,Bereishis 1:30,נפש,וּלְכֹל רוֹמֵשׂ עַל הָאָרֶץ אֲשֶׁר בּוֹ נֶפֶשׁ חַיָּה,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_051,std_b1_30_r032,Bereishis 1:30,חיה,וּלְכֹל רוֹמֵשׂ עַל הָאָרֶץ אֲשֶׁר בּוֹ נֶפֶשׁ חַיָּה,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_052,std_b1_30_r032,Bereishis 1:30,על,וּלְכֹל רוֹמֵשׂ עַל הָאָרֶץ אֲשֶׁר בּוֹ נֶפֶשׁ חַיָּה,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Preposition standards mapping remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_24_31_053,std_b1_30_r033,Bereishis 1:30,את,אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Direct-object marker token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_054,std_b1_30_r033,Bereishis 1:30,ירק,אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_055,std_b1_30_r033,Bereishis 1:30,עשב,אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה,3.01,WORD.MEANING_BASIC,3.01,Clean noun-vocabulary token candidate.,medium,pending_yossi_enrichment_review,verified,,
stdtok_b1_24_31_056,std_b1_30_r033,Bereishis 1:30,ל,אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Prefix in לאכלה remains follow-up.,low,needs_follow_up,needs_follow_up,,
