candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
morph_b1_24_r018_t001,Bereishis 1:27,זָכָר וּנְקֵבָה בָּרָא אֹתָם,ברא,shoresh=ברא; prefixes=; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=plain verb-form candidate; canonical_skill_id=,data/word_bank.json:ברא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_018,Repeated ברא remains pending review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r019_t001,Bereishis 1:28,וַיְבָרֶךְ אֹתָם אֱלֹקִים וַיֹּאמֶר לָהֶם אֱלֹקִים,ויברך,shoresh=ברך; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:ויברך; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_019,"Blessing verb proposal supported locally, pending review.",medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r019_t002,Bereishis 1:28,וַיְבָרֶךְ אֹתָם אֱלֹקִים וַיֹּאמֶר לָהֶם אֱלֹקִים,ויאמר,shoresh=אמר; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:ויאמר; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_019,Second verb in row kept review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r020_t001,Bereishis 1:28,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,פרו,shoresh=פרה; prefixes=; suffixes=; tense=imperative; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=imperative plural candidate; canonical_skill_id=,data/word_bank.json:פרו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020,Imperative form needs stronger direct morphology support.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r020_t002,Bereishis 1:28,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,ורבו,shoresh=רבה; prefixes=ו; suffixes=; tense=imperative; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=vav + imperative plural candidate; canonical_skill_id=,data/word_bank.json:ורבו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020,Imperative/vav interpretation remains follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r020_t003,Bereishis 1:28,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,ומלאו,shoresh=מלא; prefixes=ו; suffixes=; tense=imperative; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=vav + imperative plural candidate; canonical_skill_id=,data/word_bank.json:ומלאו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020,Compound imperative form needs follow-up evidence.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r021_t001,Bereishis 1:28,וְכִבְשֻׁהָ,וכבשה,shoresh=כבש; prefixes=ו; suffixes=ה; tense=imperative; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=vav + imperative with suffix candidate; canonical_skill_id=,data/word_bank.json:וכבשה; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_021,Suffix/imperative interpretation remains uncertain.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r022_t001,Bereishis 1:28,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,ורדו,shoresh=ירד; prefixes=ו; suffixes=; tense=imperative; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=vav + imperative plural candidate; canonical_skill_id=,data/word_bank.json:ורדו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022,Verb-form evidence remains thin; keep follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r024_t001,Bereishis 1:29,וַיֹּאמֶר אֱלֹקִים,ויאמר,shoresh=אמר; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:ויאמר; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_024,Another stable ויאמר token for review-only enrichment.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r025_t001,Bereishis 1:29,הִנֵּה נָתַתִּי לָכֶם,נתתי,shoresh=נתן; prefixes=; suffixes=תי; tense=past; person=1; gender=; number=singular; part_of_speech=verb; dikduk_feature=first-person past candidate; canonical_skill_id=,data/word_bank.json:נתתי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_025,נתתי has strong local form signal; still pending Yossi review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r029_t001,Bereishis 1:29,לָכֶם יִהְיֶה לְאָכְלָה,יהיה,shoresh=היה; prefixes=; suffixes=; tense=future; person=; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=future being-form candidate; canonical_skill_id=,data/word_bank.json:יהיה; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_029,Future/usage nuance remains follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r034_t001,Bereishis 1:30,וַיְהִי כֵן,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_034,Formulaic ויהי kept as follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r035_t001,Bereishis 1:31,וַיַּרְא אֱלֹהִים אֶת כׇּל אֲשֶׁר עָשָׂה,וירא,shoresh=ראה; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch narrative verb candidate; canonical_skill_id=,data/word_bank.json:וירא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_035,Narrative verb remains review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r035_t002,Bereishis 1:31,וַיַּרְא אֱלֹהִים אֶת כׇּל אֲשֶׁר עָשָׂה,עשה,shoresh=עשה; prefixes=; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=plain past verb candidate; canonical_skill_id=,data/word_bank.json:עשה; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_035,עשה token retained for morphology review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r037_t001,Bereishis 1:31,וַיְהִי עֶרֶב וַיְהִי בֹקֶר,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_037,Evening/boker formula first verb remains follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_24_r037_t003,Bereishis 1:31,וַיְהִי עֶרֶב וַיְהִי בֹקֶר,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_037,Evening/boker formula second verb remains follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
