candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
p2_tstd_011,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,אֲשֶׁר,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_012,Bereishis 2:2,וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,עָשָׂה,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_013,Bereishis 2:2,וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי,וַיִּשְׁבֹּת,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_014,Bereishis 2:2,וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי,בַּיּוֹם,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_015,Bereishis 2:2,וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי,הַשְּׁבִיעִי,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_016,Bereishis 2:2,מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,מִכָּל,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_017,Bereishis 2:2,מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,מְלַאכְתּוֹ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_018,Bereishis 2:2,מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,אֲשֶׁר,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_019,Bereishis 2:2,מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה,עָשָׂה,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_020,Bereishis 2:3,וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ,וַיְבָרֶךְ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_021,Bereishis 2:3,וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ,אֱלֹהִים,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_022,Bereishis 2:3,וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ,אֶת,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_023,Bereishis 2:3,וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ,יוֹם,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_024,Bereishis 2:3,וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ,הַשְּׁבִיעִי,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_025,Bereishis 2:3,וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ,וַיְקַדֵּשׁ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_026,Bereishis 2:3,וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ,אֹתוֹ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_027,Bereishis 2:3,כִּי בוֹ שָׁבַת,כִּי,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_028,Bereishis 2:3,כִּי בוֹ שָׁבַת,בוֹ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_029,Bereishis 2:3,כִּי בוֹ שָׁבַת,שָׁבַת,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_030,Bereishis 2:3,מִכָּל מְלַאכְתּוֹ,מִכָּל,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_031,Bereishis 2:3,מִכָּל מְלַאכְתּוֹ,מְלַאכְתּוֹ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_032,Bereishis 2:3,אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת,אֲשֶׁר,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_033,Bereishis 2:3,אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת,בָּרָא,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_034,Bereishis 2:3,אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת,אֱלֹהִים,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_035,Bereishis 2:3,אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת,לַעֲשׂוֹת,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_036,Bereishis 2:4,אֵלֶּה,אֵלֶּה,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_037,Bereishis 2:4,תוֹלְדוֹת,תוֹלְדוֹת,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_038,Bereishis 2:4,הַשָּׁמַיִם וְהָאָרֶץ,הַשָּׁמַיִם,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_039,Bereishis 2:4,הַשָּׁמַיִם וְהָאָרֶץ,וְהָאָרֶץ,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_040,Bereishis 2:4,בְּהִבָּרְאָם,בְּהִבָּרְאָם,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_041,Bereishis 2:4,בְּיוֹם עֲשׂוֹת יְהוָה אֱלֹהִים,בְּיוֹם,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_042,Bereishis 2:4,בְּיוֹם עֲשׂוֹת יְהוָה אֱלֹהִים,עֲשׂוֹת,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_043,Bereishis 2:4,בְּיוֹם עֲשׂוֹת יְהוָה אֱלֹהִים,יְהוָה,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
p2_tstd_044,Bereishis 2:4,בְּיוֹם עֲשׂוֹת יְהוָה אֱלֹהִים,אֱלֹהִים,proposed_skill_id=phrase_translation; canonical_skill_id=phrase_translation,sefaria_bereishis_english_metsudah; linear_chumash_translation_most_parshiyos_in_torah,Token-split standards candidate created because phrase-level standards may be broad; Yossi must confirm token-level mapping.,low,pending_yossi_enrichment_review,"Yossi should review this Perek 2 Token-Split Standards Enrichment enrichment candidate and either verify, revise, source-only, or mark follow-up.",needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
