candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
morph_b1_18_r020_t001,Bereishis 1:18,וַיַּרְא אֱלֹקִים כִּי טוֹב,וירא,shoresh=ראה; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch / seeing verb candidate; canonical_skill_id=,data/word_bank.json:וירא; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14,ראה appears in local vocabulary seed evidence and וירא is locally attested; exact verb form remains review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_19_r021_t001,Bereishis 1:19,וַיְהִי עֶרֶב וַיְהִי בֹקֶר,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/future narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,First ויהי in the evening/morning formula remains follow-up.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_19_r021_t003,Bereishis 1:19,וַיְהִי עֶרֶב וַיְהִי בֹקֶר,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/future narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,Second ויהי in the evening/morning formula remains follow-up.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_20_r024_t001,Bereishis 1:20,יִשְׁרְצוּ הַמַּיִם,ישרצו,shoresh=שרץ; prefixes=; suffixes=; tense=future/jussive; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=plural future/jussive candidate; canonical_skill_id=,data/word_bank.json:ישרצו; data/curriculum_extraction/reports/batch_001_source_gap_request.md:62,"ישרצו links locally to שרץ, but exact future/jussive interpretation needs review.",medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_20_r026_t002,Bereishis 1:20,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,יעופף,shoresh=עוף; prefixes=; suffixes=; tense=future; person=; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=future flying verb candidate; canonical_skill_id=,data/word_bank.json:יעופף; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14,"יעופף has local word-bank evidence and עוף appears in seed evidence, but verb-form details remain review-only.",medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_21_r028_t001,Bereishis 1:21,וַיִּבְרָא אֱלֹקִים,ויברא,shoresh=ברא; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch / creation verb candidate; canonical_skill_id=,data/word_bank.json:ויברא; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14,"ויברא links to ברא seed evidence, but exact vav-form analysis remains review-only.",medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_21_r031_t002,Bereishis 1:21,אֲשֶׁר שָׁרְצוּ הַמַּיִם לְמִינֵהֶם,שרצו,shoresh=שרץ; prefixes=; suffixes=; tense=past; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=plural swarming verb candidate; canonical_skill_id=,data/word_bank.json:שרצו; data/curriculum_extraction/reports/batch_001_source_gap_request.md:62,"שרצו is locally supported as a שרץ-form candidate, but exact tense/person details need review.",medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_21_r033_t001,Bereishis 1:21,וַיַּרְא אֱלֹקִים כִּי טוֹב,וירא,shoresh=ראה; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch / seeing verb candidate; canonical_skill_id=,data/word_bank.json:וירא; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14,"Repeated וירא instance is useful for review, but not automatically verified.",medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_22_r034_t001,Bereishis 1:22,וַיְבָרֶךְ אֹתָם אֱלֹקִים לֵאמֹר,ויברך,shoresh=ברך; prefixes=ו; suffixes=; tense=past; person=3; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=vav-hahipuch / blessing verb candidate; canonical_skill_id=,data/word_bank.json:ויברך,ויברך is a useful morphology candidate from local word-bank evidence; exact form remains review-only.,medium,pending_yossi_enrichment_review,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_22_r035_t001,Bereishis 1:22,פְּרוּ וּרְבוּ,פרו,shoresh=פרה; prefixes=; suffixes=; tense=imperative; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=plural imperative candidate; canonical_skill_id=,data/word_bank.json:פרו,"פרו is useful as an imperative-style candidate, but evidence remains local word-bank only.",low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_22_r035_t002,Bereishis 1:22,פְּרוּ וּרְבוּ,ורבו,shoresh=רבה; prefixes=ו; suffixes=; tense=imperative; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=vav plus plural imperative candidate; canonical_skill_id=,data/word_bank.json:ורבו,ורבו is useful for review but compound surface and exact imperative analysis need stronger evidence.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_22_r036_t001,Bereishis 1:22,וּמִלְאוּ אֶת הַמַּיִם בַּיַּמִּים,ומלאו,shoresh=מלא; prefixes=ו; suffixes=; tense=imperative; person=; gender=; number=plural; part_of_speech=verb; dikduk_feature=vav plus plural imperative candidate; canonical_skill_id=,data/word_bank.json:ומלאו,ומלאו is review-only; exact form and command function need Yossi review.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_22_r037_t002,Bereishis 1:22,וְהָעוֹף יִרֶב בָּאָרֶץ,ירב,shoresh=רבה; prefixes=; suffixes=; tense=future/jussive; person=; gender=masculine; number=singular; part_of_speech=verb; dikduk_feature=future/jussive increase candidate; canonical_skill_id=,data/word_bank.json:ירב,ירב has local word-bank support but future/jussive force remains a follow-up issue.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_23_r038_t001,Bereishis 1:23,וַיְהִי עֶרֶב וַיְהִי בֹקֶר,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/future narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,First ויהי in the fifth-day formula remains follow-up.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
morph_b1_23_r038_t003,Bereishis 1:23,וַיְהִי עֶרֶב וַיְהִי בֹקֶר,ויהי,shoresh=היה; prefixes=ו; suffixes=; tense=past/future narrative; person=; gender=; number=singular; part_of_speech=verb; dikduk_feature=vav narrative being-form candidate; canonical_skill_id=,data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07,Second ויהי in the fifth-day formula remains follow-up.,low,needs_follow_up,Confirm whether the token-level morphology proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
