candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
vocab_b1_24_r014_t001,Bereishis 1:26,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,דגת,translation=fish of; shoresh_or_keyword=דגה; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014; data/word_bank.json:דגת,Construct token depends on context; keep follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r014_t002,Bereishis 1:26,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,הים,translation=sea; shoresh_or_keyword=ים; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_072,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014; data/word_bank.json:הים,Sea token has local vocabulary support.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r014_t003,Bereishis 1:26,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,עוף,translation=bird/flying creature; shoresh_or_keyword=עוף; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_116,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014; data/word_bank.json:עוף,High-value noun token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r014_t004,Bereishis 1:26,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,השמים,translation=heavens/sky; shoresh_or_keyword=שמים; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_132,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014; data/word_bank.json:השמים,High-value noun token with prior slice evidence.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r018_t001,Bereishis 1:27,זָכָר וּנְקֵבָה בָּרָא אֹתָם,זכר,translation=male; shoresh_or_keyword=זכר; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_018; data/word_bank.json:זכר,Stable lexical token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r018_t002,Bereishis 1:27,זָכָר וּנְקֵבָה בָּרָא אֹתָם,נקבה,translation=female; shoresh_or_keyword=נקבה; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_018; data/word_bank.json:נקבה,Stable lexical token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r020_t001,Bereishis 1:28,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,הארץ,translation=earth/land; shoresh_or_keyword=ארץ; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_078,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020; data/word_bank.json:הארץ,Repeated high-value noun token.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r022_t001,Bereishis 1:28,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,דגת,translation=fish of; shoresh_or_keyword=דגה; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022; data/word_bank.json:דגת,Construct noun token remains follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r022_t002,Bereishis 1:28,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,הים,translation=sea; shoresh_or_keyword=ים; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_072,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022; data/word_bank.json:הים,Repeated noun token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r022_t003,Bereishis 1:28,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,עוף,translation=bird/flying creature; shoresh_or_keyword=עוף; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_116,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022; data/word_bank.json:עוף,Repeated noun token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r022_t004,Bereishis 1:28,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,השמים,translation=heavens/sky; shoresh_or_keyword=שמים; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_132,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022; data/word_bank.json:השמים,Repeated noun token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r023_t001,Bereishis 1:28,וּבְכָל חַיָּה הָרֹמֶשֶׂת עַל הָאָרֶץ,חיה,translation=living creature; shoresh_or_keyword=חיה; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_050,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_023; data/word_bank.json:חיה,Repeated noun token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r023_t002,Bereishis 1:28,וּבְכָל חַיָּה הָרֹמֶשֶׂת עַל הָאָרֶץ,הארץ,translation=earth/land; shoresh_or_keyword=ארץ; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_078,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_023; data/word_bank.json:הארץ,Repeated noun token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r026_t001,Bereishis 1:29,אֶת כָּל עֵשֶׂב זֹרֵעַ זֶרַע,עשב,translation=grass/herb; shoresh_or_keyword=עשב; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_119,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_026; data/word_bank.json:עשב,Vocabulary token with local seed support.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r026_t002,Bereishis 1:29,אֶת כָּל עֵשֶׂב זֹרֵעַ זֶרַע,זרע,translation=seed; shoresh_or_keyword=זרע; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_140,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_026; data/word_bank.json:זרע,High-value noun token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r028_t001,Bereishis 1:29,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,העץ,translation=tree; shoresh_or_keyword=עץ; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_113,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_028; data/word_bank.json:העץ,Tree token candidate from provision phrase.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r028_t002,Bereishis 1:29,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,פרי,translation=fruit; shoresh_or_keyword=פרי; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_110,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_028; data/word_bank.json:פרי,Fruit token candidate with local seed support.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r028_t003,Bereishis 1:29,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,זרע,translation=seed; shoresh_or_keyword=זרע; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_140,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_028; data/word_bank.json:זרע,Repeated seed token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r029_t001,Bereishis 1:29,לָכֶם יִהְיֶה לְאָכְלָה,לאכלה,translation=for food; shoresh_or_keyword=אכל; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_029; data/word_bank.json:לאכלה,Inflected/prepositional token is context-heavy; keep follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r032_t001,Bereishis 1:30,וּלְכֹל רוֹמֵשׂ עַל הָאָרֶץ אֲשֶׁר בּוֹ נֶפֶשׁ חַיָּה,נפש,translation=living being/soul; shoresh_or_keyword=נפש; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_101,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_032; data/word_bank.json:נפש,Nefesh token candidate in repeated context.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r032_t002,Bereishis 1:30,וּלְכֹל רוֹמֵשׂ עַל הָאָרֶץ אֲשֶׁר בּוֹ נֶפֶשׁ חַיָּה,חיה,translation=living creature; shoresh_or_keyword=חיה; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_050,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_032; data/word_bank.json:חיה,Chayah token candidate in repeated context.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r033_t001,Bereishis 1:30,אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה,ירק,translation=greens/vegetation; shoresh_or_keyword=ירק; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_033; data/word_bank.json:ירק,Useful noun vocabulary token for review.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r033_t002,Bereishis 1:30,אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה,עשב,translation=grass/herb; shoresh_or_keyword=עשב; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_119,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_033; data/word_bank.json:עשב,Repeated עשב token candidate.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r036_t001,Bereishis 1:31,וְהִנֵּה טוֹב מְאֹד,טוב,translation=good; shoresh_or_keyword=טוב; category=adjective_vocabulary; first_150_match=yes; first_150_entry_id=first150_099,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_036; data/word_bank.json:טוב,Adjective token is common and reviewable.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r037_t001,Bereishis 1:31,וַיְהִי עֶרֶב וַיְהִי בֹקֶר,ערב,translation=evening; shoresh_or_keyword=ערב; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_024,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_037; data/word_bank.json:ערב,Evening token from day-formula phrase.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r037_t002,Bereishis 1:31,וַיְהִי עֶרֶב וַיְהִי בֹקֶר,בקר,translation=morning; shoresh_or_keyword=בקר; category=noun_vocabulary; first_150_match=no; first_150_entry_id=,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_037; data/word_bank.json:בקר,Morning token flagged as contextual/thin evidence follow-up.,low,needs_follow_up,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
vocab_b1_24_r038_t001,Bereishis 1:31,יוֹם הַשִּׁשִּׁי,יום,translation=day; shoresh_or_keyword=יום; category=noun_vocabulary; first_150_match=yes; first_150_entry_id=first150_146,data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_038; data/word_bank.json:יום,Day token candidate from closing phrase.,medium,pending_yossi_enrichment_review,Confirm whether the token-level proposal is supported enough for enrichment review only; keep all later gates closed.,verified,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
