review_group_id,category,hebrew_token_or_pattern,refs_or_count,representative_candidate_ids,source_candidate_files,evidence_summary,recommended_decision,risk_level,yossi_decision,yossi_notes
p2_comp_012,morphology_verb_form_sensitive,vav narrative / vav hahipuch,"26 candidates; Bereishis 2:1, Bereishis 2:2, Bereishis 2:3, Bereishis 2:7, Bereishis 2:8, Bereishis 2:9, Bereishis 2:15, Bereishis 2:16 (+7 more refs)","p2_morph_001, p2_morph_006, p2_morph_013, p2_morph_020, p2_morph_025, p2_morph_079, p2_morph_087, p2_morph_091, p2_morph_095, p2_morph_101, +16 more",data/source_skill_enrichment/morphology_candidates/bereishis_perek_2_morphology_candidates.tsv,Verb-form-sensitive vav narrative/vav hahipuch pattern; defer morphology question use.,needs_follow_up,high,,
p2_comp_013,phrase_level_standards_source_only,phrase-level standards parent rows,"99 candidates; Bereishis 2:1, Bereishis 2:2, Bereishis 2:3, Bereishis 2:4, Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:8 (+17 more refs)","p2_std_001, p2_std_002, p2_std_003, p2_std_004, p2_std_005, p2_std_006, p2_std_007, p2_std_008, p2_std_009, p2_std_010, +89 more",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_standards_candidates.tsv,Phrase-level standards are broad parent rows; token-split rows are preferred for later review.,source_only,medium,,
p2_comp_014,token_split_clean_noun_standards,אביו,1 candidates; Bereishis 2:24,p2_tstd_314,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_015,token_split_clean_noun_standards,אבן,1 candidates; Bereishis 2:12,p2_tstd_155,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_016,token_split_clean_noun_standards,אדם,"15 candidates; Bereishis 2:5, Bereishis 2:7, Bereishis 2:8, Bereishis 2:15, Bereishis 2:16, Bereishis 2:18, Bereishis 2:19, Bereishis 2:20 (+4 more refs)","p2_tstd_065, p2_tstd_083, p2_tstd_092, p2_tstd_104, p2_tstd_183, p2_tstd_193, p2_tstd_219, p2_tstd_239, p2_tstd_248, p2_tstd_254, +5 more",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_017,token_split_clean_noun_standards,אדמה,"5 candidates; Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:9, Bereishis 2:19","p2_tstd_069, p2_tstd_078, p2_tstd_086, p2_tstd_111, p2_tstd_229",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_018,token_split_clean_noun_standards,איש,1 candidates; Bereishis 2:24,p2_tstd_312,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_019,token_split_clean_noun_standards,אלה,1 candidates; Bereishis 2:4,p2_tstd_036,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_020,token_split_clean_noun_standards,אמו,1 candidates; Bereishis 2:24,p2_tstd_316,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_021,token_split_clean_noun_standards,ארץ,"8 candidates; Bereishis 2:1, Bereishis 2:4, Bereishis 2:5, Bereishis 2:6, Bereishis 2:11, Bereishis 2:12, Bereishis 2:13","p2_tstd_003, p2_tstd_039, p2_tstd_045, p2_tstd_064, p2_tstd_073, p2_tstd_144, p2_tstd_150, p2_tstd_165",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_022,token_split_clean_noun_standards,אשה,1 candidates; Bereishis 2:23,p2_tstd_304,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_023,token_split_clean_noun_standards,בדלח,1 candidates; Bereishis 2:12,p2_tstd_154,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_024,token_split_clean_noun_standards,בשר,"2 candidates; Bereishis 2:21, Bereishis 2:23","p2_tstd_279, p2_tstd_300",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_025,token_split_clean_noun_standards,גן,"4 candidates; Bereishis 2:8, Bereishis 2:9, Bereishis 2:10, Bereishis 2:16","p2_tstd_098, p2_tstd_121, p2_tstd_131, p2_tstd_197",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_026,token_split_clean_noun_standards,זהב,"2 candidates; Bereishis 2:11, Bereishis 2:12","p2_tstd_148, p2_tstd_149",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_027,token_split_clean_noun_standards,חיה,"2 candidates; Bereishis 2:7, Bereishis 2:19","p2_tstd_094, p2_tstd_250",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_028,token_split_clean_noun_standards,חיים,"2 candidates; Bereishis 2:7, Bereishis 2:9","p2_tstd_090, p2_tstd_119",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_029,token_split_clean_noun_standards,טוב,"5 candidates; Bereishis 2:9, Bereishis 2:12, Bereishis 2:17, Bereishis 2:18","p2_tstd_116, p2_tstd_124, p2_tstd_152, p2_tstd_202, p2_tstd_217",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_030,token_split_clean_noun_standards,מות,1 candidates; Bereishis 2:17,p2_tstd_211,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_031,token_split_clean_noun_standards,מלאכתו,"3 candidates; Bereishis 2:2, Bereishis 2:3","p2_tstd_010, p2_tstd_017, p2_tstd_031",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_032,token_split_clean_noun_standards,נהר,"4 candidates; Bereishis 2:10, Bereishis 2:13, Bereishis 2:14","p2_tstd_126, p2_tstd_158, p2_tstd_168, p2_tstd_175",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_033,token_split_clean_noun_standards,נפש,1 candidates; Bereishis 2:19,p2_tstd_249,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_034,token_split_clean_noun_standards,עדן,1 candidates; Bereishis 2:15,p2_tstd_186,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_035,token_split_clean_noun_standards,עזר,"2 candidates; Bereishis 2:18, Bereishis 2:20","p2_tstd_223, p2_tstd_266",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_036,token_split_clean_noun_standards,עץ,"4 candidates; Bereishis 2:9, Bereishis 2:16","p2_tstd_113, p2_tstd_118, p2_tstd_122, p2_tstd_196",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_037,token_split_clean_noun_standards,עשב,1 candidates; Bereishis 2:5,p2_tstd_054,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_038,token_split_clean_noun_standards,צבאם,1 candidates; Bereishis 2:1,p2_tstd_005,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_039,token_split_clean_noun_standards,צלע,1 candidates; Bereishis 2:22,p2_tstd_285,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_040,token_split_clean_noun_standards,רע,"2 candidates; Bereishis 2:9, Bereishis 2:17","p2_tstd_125, p2_tstd_203",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_041,token_split_clean_noun_standards,שביעי,"3 candidates; Bereishis 2:2, Bereishis 2:3","p2_tstd_009, p2_tstd_015, p2_tstd_024",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_042,token_split_clean_noun_standards,שדה,"4 candidates; Bereishis 2:5, Bereishis 2:19, Bereishis 2:20","p2_tstd_049, p2_tstd_055, p2_tstd_232, p2_tstd_262",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_043,token_split_clean_noun_standards,שם,"6 candidates; Bereishis 2:8, Bereishis 2:11, Bereishis 2:12, Bereishis 2:13, Bereishis 2:14","p2_tstd_102, p2_tstd_137, p2_tstd_147, p2_tstd_153, p2_tstd_157, p2_tstd_167",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_044,token_split_clean_noun_standards,שמים,"5 candidates; Bereishis 2:1, Bereishis 2:4, Bereishis 2:19, Bereishis 2:20","p2_tstd_002, p2_tstd_038, p2_tstd_046, p2_tstd_236, p2_tstd_259",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Clean noun/vocabulary token-split standards group; Yossi can review as first-pass candidate.,needs_follow_up,medium,,
p2_comp_045,token_split_function_word_follow_up,את / direct-object marker,"13 candidates; Bereishis 2:3, Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:8, Bereishis 2:10, Bereishis 2:11, Bereishis 2:13 (+4 more refs)","p2_tstd_022, p2_tstd_068, p2_tstd_075, p2_tstd_082, p2_tstd_103, p2_tstd_130, p2_tstd_142, p2_tstd_163, p2_tstd_182, p2_tstd_233, +3 more",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,"Function-word token-split row; must be reviewed as function, not translation.",needs_follow_up,high,,
p2_comp_046,token_split_general_context_follow_up,אחד,1 candidates; Bereishis 2:24,p2_tstd_321,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_047,token_split_general_context_follow_up,אחת,1 candidates; Bereishis 2:21,p2_tstd_276,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_048,token_split_general_context_follow_up,אין,1 candidates; Bereishis 2:5,p2_tstd_066,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_049,token_split_general_context_follow_up,אכל,"2 candidates; Bereishis 2:16, Bereishis 2:17","p2_tstd_198, p2_tstd_209",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_050,token_split_general_context_follow_up,אלה,"14 candidates; Bereishis 2:2, Bereishis 2:3, Bereishis 2:4, Bereishis 2:5, Bereishis 2:7, Bereishis 2:8, Bereishis 2:9, Bereishis 2:15 (+5 more refs)","p2_tstd_007, p2_tstd_021, p2_tstd_034, p2_tstd_044, p2_tstd_062, p2_tstd_081, p2_tstd_097, p2_tstd_109, p2_tstd_181, p2_tstd_191, +4 more",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_051,token_split_general_context_follow_up,אעש,1 candidates; Bereishis 2:18,p2_tstd_221,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_052,token_split_general_context_follow_up,אשו,1 candidates; Bereishis 2:14,p2_tstd_174,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_053,token_split_general_context_follow_up,אתו,1 candidates; Bereishis 2:3,p2_tstd_026,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_054,token_split_general_context_follow_up,גיח,1 candidates; Bereishis 2:13,p2_tstd_160,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_055,token_split_general_context_follow_up,זאת,2 candidates; Bereishis 2:23,"p2_tstd_296, p2_tstd_308",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_056,token_split_general_context_follow_up,חדק,1 candidates; Bereishis 2:14,p2_tstd_170,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_057,token_split_general_context_follow_up,חית,"2 candidates; Bereishis 2:19, Bereishis 2:20","p2_tstd_231, p2_tstd_261",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_058,token_split_general_context_follow_up,טרם,2 candidates; Bereishis 2:5,"p2_tstd_050, p2_tstd_056",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_059,token_split_general_context_follow_up,נחמ,1 candidates; Bereishis 2:9,p2_tstd_114,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_060,token_split_general_context_follow_up,נשמ,1 candidates; Bereishis 2:7,p2_tstd_089,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_061,token_split_general_context_follow_up,עוף,1 candidates; Bereishis 2:19,p2_tstd_235,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_062,token_split_general_context_follow_up,עפר,1 candidates; Bereishis 2:7,p2_tstd_084,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_063,token_split_general_context_follow_up,עצם,1 candidates; Bereishis 2:23,p2_tstd_298,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_064,token_split_general_context_follow_up,ערו,1 candidates; Bereishis 2:25,p2_tstd_324,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_065,token_split_general_context_follow_up,עשה,2 candidates; Bereishis 2:2,"p2_tstd_012, p2_tstd_019",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_066,token_split_general_context_follow_up,עשו,1 candidates; Bereishis 2:4,p2_tstd_042,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_067,token_split_general_context_follow_up,פיש,1 candidates; Bereishis 2:11,p2_tstd_139,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_068,token_split_general_context_follow_up,פני,1 candidates; Bereishis 2:6,p2_tstd_077,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_069,token_split_general_context_follow_up,פרת,1 candidates; Bereishis 2:14,p2_tstd_178,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_070,token_split_general_context_follow_up,קדמ,1 candidates; Bereishis 2:14,p2_tstd_173,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_071,token_split_general_context_follow_up,ראש,1 candidates; Bereishis 2:10,p2_tstd_136,data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,General token-split standards group; review before applying any enrichment decision.,needs_follow_up,medium,,
p2_comp_072,token_split_prefix_preposition_follow_up,א,"9 candidates; Bereishis 2:2, Bereishis 2:3, Bereishis 2:8, Bereishis 2:11, Bereishis 2:19, Bereishis 2:22","p2_tstd_011, p2_tstd_018, p2_tstd_032, p2_tstd_105, p2_tstd_146, p2_tstd_238, p2_tstd_245, p2_tstd_286, p2_tstd_292",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Prefix/preposition/function-word token-split row; follow-up before any eligibility use.,needs_follow_up,high,,
p2_comp_073,token_split_prefix_preposition_follow_up,ב,"13 candidates; Bereishis 2:2, Bereishis 2:3, Bereishis 2:4, Bereishis 2:5, Bereishis 2:7, Bereishis 2:8, Bereishis 2:9, Bereishis 2:15 (+2 more refs)","p2_tstd_008, p2_tstd_014, p2_tstd_028, p2_tstd_033, p2_tstd_040, p2_tstd_041, p2_tstd_052, p2_tstd_088, p2_tstd_099, p2_tstd_120, +3 more",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Prefix/preposition/function-word token-split row; follow-up before any eligibility use.,needs_follow_up,high,,
p2_comp_074,token_split_prefix_preposition_follow_up,ה,"21 candidates; Bereishis 2:5, Bereishis 2:9, Bereishis 2:11, Bereishis 2:12, Bereishis 2:13, Bereishis 2:14, Bereishis 2:17, Bereishis 2:18 (+3 more refs)","p2_tstd_060, p2_tstd_123, p2_tstd_138, p2_tstd_140, p2_tstd_141, p2_tstd_145, p2_tstd_151, p2_tstd_156, p2_tstd_159, p2_tstd_161, +11 more",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Prefix/preposition/function-word token-split row; follow-up before any eligibility use.,needs_follow_up,high,,
p2_comp_075,token_split_prefix_preposition_follow_up,ו,"17 candidates; Bereishis 2:1, Bereishis 2:5, Bereishis 2:6, Bereishis 2:10, Bereishis 2:15, Bereishis 2:17, Bereishis 2:19, Bereishis 2:20 (+2 more refs)","p2_tstd_004, p2_tstd_047, p2_tstd_053, p2_tstd_070, p2_tstd_074, p2_tstd_132, p2_tstd_134, p2_tstd_188, p2_tstd_200, p2_tstd_244, +7 more",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Prefix/preposition/function-word token-split row; follow-up before any eligibility use.,needs_follow_up,high,,
p2_comp_076,token_split_prefix_preposition_follow_up,כ,"14 candidates; Bereishis 2:3, Bereishis 2:5, Bereishis 2:6, Bereishis 2:9, Bereishis 2:11, Bereishis 2:13, Bereishis 2:17, Bereishis 2:18 (+4 more refs)","p2_tstd_027, p2_tstd_058, p2_tstd_076, p2_tstd_112, p2_tstd_143, p2_tstd_164, p2_tstd_166, p2_tstd_207, p2_tstd_224, p2_tstd_230, +4 more",data/source_skill_enrichment/standards_candidates/bereishis_perek_2_token_split_standards_candidates.tsv,Prefix/preposition/function-word token-split row; follow-up before any eligibility use.,needs_follow_up,high,,
