candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_shoresh	proposed_prefixes	proposed_suffixes	proposed_tense	proposed_person	proposed_gender	proposed_number	proposed_part_of_speech	proposed_dikduk_feature	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
morph_b1_24_r018_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_018	Bereishis 1:27	זָכָר וּנְקֵבָה בָּרָא אֹתָם	4	ברא	ברא	ברא			past	3	masculine	singular	verb	plain verb-form candidate	data/word_bank.json:ברא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_018	word_bank; verified_source_to_skill_map	Repeated ברא remains pending review-only.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r019_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_019	Bereishis 1:28	וַיְבָרֶךְ אֹתָם אֱלֹקִים וַיֹּאמֶר לָהֶם אֱלֹקִים	1	ויברך	ויברך	ברך	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:ויברך; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_019	word_bank; verified_source_to_skill_map	Blessing verb proposal supported locally, pending review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r019_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_019	Bereishis 1:28	וַיְבָרֶךְ אֹתָם אֱלֹקִים וַיֹּאמֶר לָהֶם אֱלֹקִים	4	ויאמר	ויאמר	אמר	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:ויאמר; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_019	word_bank; verified_source_to_skill_map	Second verb in row kept review-only.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r020_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_020	Bereishis 1:28	פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ	1	פרו	פרו	פרה			imperative			plural	verb	imperative plural candidate	data/word_bank.json:פרו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020	word_bank; verified_source_to_skill_map	Imperative form needs stronger direct morphology support.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Imperative form needs stronger direct morphology support.	needs_review	false	false	false
morph_b1_24_r020_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_020	Bereishis 1:28	פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ	2	ורבו	ורבו	רבה	ו		imperative			plural	verb	vav + imperative plural candidate	data/word_bank.json:ורבו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020	word_bank; verified_source_to_skill_map	Imperative/vav interpretation remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Imperative/vav interpretation remains follow-up.	needs_review	false	false	false
morph_b1_24_r020_t003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_020	Bereishis 1:28	פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ	3	ומלאו	ומלאו	מלא	ו		imperative			plural	verb	vav + imperative plural candidate	data/word_bank.json:ומלאו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020	word_bank; verified_source_to_skill_map	Compound imperative form needs follow-up evidence.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Compound imperative form needs follow-up evidence.	needs_review	false	false	false
morph_b1_24_r021_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_021	Bereishis 1:28	וְכִבְשֻׁהָ	1	וכבשה	וכבשה	כבש	ו	ה	imperative			plural	verb	vav + imperative with suffix candidate	data/word_bank.json:וכבשה; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_021	word_bank; verified_source_to_skill_map	Suffix/imperative interpretation remains uncertain.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Suffix/imperative interpretation remains uncertain.	needs_review	false	false	false
morph_b1_24_r022_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_022	Bereishis 1:28	וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	1	ורדו	ורדו	ירד	ו		imperative			plural	verb	vav + imperative plural candidate	data/word_bank.json:ורדו; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022	word_bank; verified_source_to_skill_map	Verb-form evidence remains thin; keep follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Verb-form evidence remains thin; keep follow-up.	needs_review	false	false	false
morph_b1_24_r024_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_024	Bereishis 1:29	וַיֹּאמֶר אֱלֹקִים	1	ויאמר	ויאמר	אמר	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:ויאמר; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_024	word_bank; verified_source_to_skill_map	Another stable ויאמר token for review-only enrichment.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r025_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_025	Bereishis 1:29	הִנֵּה נָתַתִּי לָכֶם	2	נתתי	נתתי	נתן		תי	past	1		singular	verb	first-person past candidate	data/word_bank.json:נתתי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_025	word_bank; verified_source_to_skill_map	נתתי has strong local form signal; still pending Yossi review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r029_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_029	Bereishis 1:29	לָכֶם יִהְיֶה לְאָכְלָה	2	יהיה	יהיה	היה			future		masculine	singular	verb	future being-form candidate	data/word_bank.json:יהיה; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_029	word_bank; verified_source_to_skill_map	Future/usage nuance remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Future/usage nuance remains follow-up.	needs_review	false	false	false
morph_b1_24_r034_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_034	Bereishis 1:30	וַיְהִי כֵן	1	ויהי	ויהי	היה	ו		past/narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_034	word_bank; verified_source_to_skill_map	Formulaic ויהי kept as follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Formulaic ויהי kept as follow-up.	needs_review	false	false	false
morph_b1_24_r035_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_035	Bereishis 1:31	וַיַּרְא אֱלֹהִים אֶת כׇּל אֲשֶׁר עָשָׂה	1	וירא	וירא	ראה	ו		past	3	masculine	singular	verb	vav-hahipuch narrative verb candidate	data/word_bank.json:וירא; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_035	word_bank; verified_source_to_skill_map	Narrative verb remains review-only.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r035_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_035	Bereishis 1:31	וַיַּרְא אֱלֹהִים אֶת כׇּל אֲשֶׁר עָשָׂה	5	עשה	עשה	עשה			past	3	masculine	singular	verb	plain past verb candidate	data/word_bank.json:עשה; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_035	word_bank; verified_source_to_skill_map	עשה token retained for morphology review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
morph_b1_24_r037_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_037	Bereishis 1:31	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	1	ויהי	ויהי	היה	ו		past/narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_037	word_bank; verified_source_to_skill_map	Evening/boker formula first verb remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Evening/boker formula first verb remains follow-up.	needs_review	false	false	false
morph_b1_24_r037_t003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_037	Bereishis 1:31	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	3	ויהי	ויהי	היה	ו		past/narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_037	word_bank; verified_source_to_skill_map	Evening/boker formula second verb remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Evening/boker formula second verb remains follow-up.	needs_review	false	false	false
