candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_shoresh	proposed_prefixes	proposed_suffixes	proposed_tense	proposed_person	proposed_gender	proposed_number	proposed_part_of_speech	proposed_dikduk_feature	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
morph_b1_18_r020_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_020	Bereishis 1:18	וַיַּרְא אֱלֹקִים כִּי טוֹב	1	וירא	וירא	ראה	ו		past	3	masculine	singular	verb	vav-hahipuch / seeing verb candidate	data/word_bank.json:וירא; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14	project_word_bank_reference_only; zekelman_structured_standard	ראה appears in local vocabulary seed evidence and וירא is locally attested; exact verb form remains review-only.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_19_r021_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_021	Bereishis 1:19	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	1	ויהי	ויהי	היה	ו		past/future narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	First ויהי in the evening/morning formula remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_19_r021_t003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_021	Bereishis 1:19	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	3	ויהי	ויהי	היה	ו		past/future narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	Second ויהי in the evening/morning formula remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_20_r024_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_024	Bereishis 1:20	יִשְׁרְצוּ הַמַּיִם	1	ישרצו	ישרצו	שרץ			future/jussive			plural	verb	plural future/jussive candidate	data/word_bank.json:ישרצו; data/curriculum_extraction/reports/batch_001_source_gap_request.md:62	project_word_bank_reference_only; zekelman_structured_standard	ישרצו links locally to שרץ, but exact future/jussive interpretation needs review.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_20_r026_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_026	Bereishis 1:20	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	2	יעופף	יעופף	עוף			future		masculine	singular	verb	future flying verb candidate	data/word_bank.json:יעופף; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14	project_word_bank_reference_only; zekelman_structured_standard	יעופף has local word-bank evidence and עוף appears in seed evidence, but verb-form details remain review-only.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_21_r028_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_028	Bereishis 1:21	וַיִּבְרָא אֱלֹקִים	1	ויברא	ויברא	ברא	ו		past	3	masculine	singular	verb	vav-hahipuch / creation verb candidate	data/word_bank.json:ויברא; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14	project_word_bank_reference_only; zekelman_structured_standard	ויברא links to ברא seed evidence, but exact vav-form analysis remains review-only.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_21_r031_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_031	Bereishis 1:21	אֲשֶׁר שָׁרְצוּ הַמַּיִם לְמִינֵהֶם	2	שרצו	שרצו	שרץ			past			plural	verb	plural swarming verb candidate	data/word_bank.json:שרצו; data/curriculum_extraction/reports/batch_001_source_gap_request.md:62	project_word_bank_reference_only; zekelman_structured_standard	שרצו is locally supported as a שרץ-form candidate, but exact tense/person details need review.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_21_r033_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_033	Bereishis 1:21	וַיַּרְא אֱלֹקִים כִּי טוֹב	1	וירא	וירא	ראה	ו		past	3	masculine	singular	verb	vav-hahipuch / seeing verb candidate	data/word_bank.json:וירא; data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14	project_word_bank_reference_only; zekelman_structured_standard	Repeated וירא instance is useful for review, but not automatically verified.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_22_r034_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_034	Bereishis 1:22	וַיְבָרֶךְ אֹתָם אֱלֹקִים לֵאמֹר	1	ויברך	ויברך	ברך	ו		past	3	masculine	singular	verb	vav-hahipuch / blessing verb candidate	data/word_bank.json:ויברך	project_word_bank_reference_only; zekelman_structured_standard	ויברך is a useful morphology candidate from local word-bank evidence; exact form remains review-only.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local morphology evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
morph_b1_22_r035_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_035	Bereishis 1:22	פְּרוּ וּרְבוּ	1	פרו	פרו	פרה			imperative			plural	verb	plural imperative candidate	data/word_bank.json:פרו	project_word_bank_reference_only; zekelman_structured_standard	פרו is useful as an imperative-style candidate, but evidence remains local word-bank only.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_22_r035_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_035	Bereishis 1:22	פְּרוּ וּרְבוּ	2	ורבו	ורבו	רבה	ו		imperative			plural	verb	vav plus plural imperative candidate	data/word_bank.json:ורבו	project_word_bank_reference_only; zekelman_structured_standard	ורבו is useful for review but compound surface and exact imperative analysis need stronger evidence.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_22_r036_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_036	Bereishis 1:22	וּמִלְאוּ אֶת הַמַּיִם בַּיַּמִּים	1	ומלאו	ומלאו	מלא	ו		imperative			plural	verb	vav plus plural imperative candidate	data/word_bank.json:ומלאו	project_word_bank_reference_only; zekelman_structured_standard	ומלאו is review-only; exact form and command function need Yossi review.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_22_r037_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_037	Bereishis 1:22	וְהָעוֹף יִרֶב בָּאָרֶץ	2	ירב	ירב	רבה			future/jussive		masculine	singular	verb	future/jussive increase candidate	data/word_bank.json:ירב	project_word_bank_reference_only; zekelman_structured_standard	ירב has local word-bank support but future/jussive force remains a follow-up issue.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_23_r038_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_038	Bereishis 1:23	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	1	ויהי	ויהי	היה	ו		past/future narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	First ויהי in the fifth-day formula remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
morph_b1_23_r038_t003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_038	Bereishis 1:23	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	3	ויהי	ויהי	היה	ו		past/future narrative			singular	verb	vav narrative being-form candidate	data/word_bank.json:ויהי; data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07	project_word_bank_reference_only; zekelman_structured_standard	Second ויהי in the fifth-day formula remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: future/jussive, vav-form, prefix-compound, imperative, or thin-evidence morphology needs stronger trusted support.	needs_review	false	false	false
