audit_id	source_candidate_file	source_candidate_id	source_candidate_type	ref	hebrew_token	hebrew_phrase	canonical_skill_id	canonical_standard_anchor	enrichment_review_status	enrichment_evidence_summary	proposed_question_family	eligibility_recommendation	recommendation_reason	risk_level	risk_reasons	yossi_question_review_decision	yossi_question_review_notes	question_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed
qelig_b1_011	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv	vocab_b1_2_r007_t001	vocabulary_shoresh	Bereishis 1:2	וחשך	וחשך			needs_follow_up	Evidence clarified, not fully strengthened: verified phrase/source extraction supports וחשך=and darkness in context, but no exact First 150, vocabulary seed, or trusted standalone keyword record for base חשך was located. Prefix/conjunction morphology remains separate from vocabulary evidence.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	medium	context_dependent;prefix_preposition_uncertain;thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_012	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv	std_b1_1_r002	phrase_level_standards	Bereishis 1:1		ברא אלקים		3.02	needs_follow_up	Evidence strengthened for a token-level split: Zekelman 3.02 covers cumulative shoresh vocabulary and root identification; word_parse.bereishis_1_1.bara supports token ברא as shoresh ברא. The phrase-level row is superseded by token-split follow-up candidates in data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv and remains unresolved.	not_recommended	needs_follow_up	Phrase-level standards rows are broad bundles and should be resolved through token-level standards before question planning.	high	phrase_level_bundle;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_013	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv	std_b1_1_r003	phrase_level_standards	Bereishis 1:1		את השמים ואת הארץ		3.01	needs_follow_up	Evidence clarified for token-level split work: 3.01 applies to noun vocabulary such as שמים/ארץ, 3.03 applies to direct-object-marker review for את, and 3.06 article/prefix work remains separate. The phrase-level row is superseded by token-split follow-up candidates in data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv and remains unresolved.	not_recommended	needs_follow_up	Phrase-level standards rows are broad bundles and should be resolved through token-level standards before question planning.	high	phrase_level_bundle;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_014	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv	std_b1_2_r004	phrase_level_standards	Bereishis 1:2		והארץ		3.01	yossi_enrichment_verified	ארץ appears as vocabulary support and Standard 3.01 covers noun vocabulary. Prefix/article morphology still needs review.	not_recommended	source_only	Phrase-level standards enrichment is useful source context, but token-split rows are the preferred question-planning path.	medium	phrase_level_bundle;context_dependent;requires_teacher_wording_review	source_only	Kept source-only. Useful as source context but not approved as a future input candidate.	needs_review	false	false	false
qelig_b1_015	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv	std_b1_3_r013	phrase_level_standards	Bereishis 1:3		יהי אור		3.01	needs_follow_up	Evidence strengthened for token-level split work: אור fits a 3.01 noun-vocabulary lane, while יהי still depends on unresolved verb-form analysis under 3.07. The phrase-level row is superseded by token-split follow-up candidates in data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv and remains unresolved.	not_recommended	needs_follow_up	Phrase-level standards rows are broad bundles and should be resolved through token-level standards before question planning.	high	phrase_level_bundle;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_016	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv	std_b1_5_r020	phrase_level_standards	Bereishis 1:5		לאור יום		3.01	needs_follow_up	Evidence strengthened for token-level split work: base אור and יום fit 3.01 noun-vocabulary review, while prefixed ל remains a low-confidence 3.06 follow-up. The phrase-level row is superseded by token-split follow-up candidates in data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv and remains unresolved.	not_recommended	needs_follow_up	Phrase-level standards rows are broad bundles and should be resolved through token-level standards before question planning.	high	phrase_level_bundle;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_017	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_standards_candidates.tsv	std_b1_2_r010	phrase_level_standards	Bereishis 1:2		מרחפת		needs_mapping_review	needs_follow_up	Evidence gap remains: the verified source-to-skill row supports מרחפת as source-derived text, and 3.07 is the broad verb standard, but no trusted local token-level parse or standards mapping was located for מרחפת. Keep as needs_mapping_review.	not_recommended	needs_follow_up	Phrase-level standards rows are broad bundles and should be resolved through token-level standards before question planning.	high	phrase_level_bundle;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_018	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_1_r002_t001	token_split_standards	Bereishis 1:1	ברא	ברא אלקים	ROOT.IDENTIFY	3.02	yossi_enrichment_verified	Token-level evidence supports ברא as a shoresh-identification standards candidate under Standard 3.02, mapped through ROOT.IDENTIFY in the canonical contract. This approval applies to token ברא only, not to the parent phrase ברא אלקים.	shoresh_identification	eligible_candidate_for_yossi_question_review	Verified token-level 3.02 root standards mapping is clean enough for later Yossi question-eligibility review.	low	clean_token_level_shoresh;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only; actual question wording must be reviewed separately.	needs_review	false	false	false
qelig_b1_019	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_1_r003_t001	token_split_standards	Bereishis 1:1	את	את השמים ואת הארץ	PARTICLE.DIRECT_OBJECT_MARKER	3.03	yossi_enrichment_verified	The first את is a clean token-level direct-object-marker follow-up candidate anchored to PARTICLE.DIRECT_OBJECT_MARKER and Standard 3.03. This approval is only for token את, not for the whole phrase.	direct_object_marker_recognition	eligible_candidate_for_yossi_question_review	Verified token-level direct-object marker mapping can be reviewed later as a function-word input candidate.	medium	clean_direct_marker;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only; requires careful wording so the question asks about the function of ??, not a simple translation.	needs_review	false	false	false
qelig_b1_020	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_1_r003_t002	token_split_standards	Bereishis 1:1	שמים	את השמים ואת הארץ	WORD.MEANING_BASIC	3.01	needs_follow_up	Base noun שמים is a plausible 3.01 noun-vocabulary follow-up candidate, but the current local evidence is still low-confidence because no separate vocabulary seed was linked. The row remains useful for Yossi follow-up only.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	medium	thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_021	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_1_r003_t003	token_split_standards	Bereishis 1:1	את	את השמים ואת הארץ	PARTICLE.DIRECT_OBJECT_MARKER	3.03	yossi_enrichment_verified	This row isolates base את from surface ואת so the conjunction stays out of the standards claim. The direct-object-marker mapping to 3.03 / PARTICLE.DIRECT_OBJECT_MARKER is approved for the token-level candidate only.	direct_object_marker_recognition	eligible_candidate_for_yossi_question_review	Verified token-level direct-object marker mapping can be reviewed later as a function-word input candidate.	medium	clean_direct_marker;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only; requires careful wording so the question asks about the function of ??, not a simple translation.	needs_review	false	false	false
qelig_b1_022	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_1_r003_t004	token_split_standards	Bereishis 1:1	ארץ	את השמים ואת הארץ	WORD.MEANING_BASIC	3.01	yossi_enrichment_verified	Base noun ארץ already has vocabulary support elsewhere in the pilot, so it is an acceptable token-level Standard 3.01 standards candidate under WORD.MEANING_BASIC. The approval applies to token ארץ only.	basic_noun_recognition	eligible_candidate_for_yossi_question_review	Verified token-level 3.01 vocabulary standards mapping is clean enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_023	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_3_r013_t001	token_split_standards	Bereishis 1:3	יהי	יהי אור	VERB.TENSE.FUTURE	3.07	needs_follow_up	יהי belongs in a 3.07 verb-form review lane if Yossi wants a standards candidate, but the current evidence is still indirect and no trusted token-level morphology parse has been approved. The row remains follow-up only.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	medium	thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_024	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_3_r013_t002	token_split_standards	Bereishis 1:3	אור	יהי אור	WORD.MEANING_BASIC	3.01	yossi_enrichment_verified	אור is a clean token-level noun-vocabulary standards candidate under Standard 3.01 and maps through WORD.MEANING_BASIC in the canonical contract. The row is approved for enrichment only and does not change any safety gate.	basic_noun_recognition	eligible_candidate_for_yossi_question_review	Verified token-level 3.01 vocabulary standards mapping is clean enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_025	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_5_r020_t001	token_split_standards	Bereishis 1:5	אור	לאור יום	WORD.MEANING_BASIC	3.01	yossi_enrichment_verified	Base noun אור can be reviewed separately from surface לאור as a Standard 3.01 token-level candidate under WORD.MEANING_BASIC. Yossi approved the base noun only; the prefixed ל analysis remains separate.	basic_noun_recognition	eligible_candidate_for_yossi_question_review	Verified token-level 3.01 vocabulary standards mapping is clean enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_026	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_5_r020_t002	token_split_standards	Bereishis 1:5	יום	לאור יום	WORD.MEANING_BASIC	3.01	yossi_enrichment_verified	יום is a clean token-level noun-vocabulary standards candidate under Standard 3.01 and maps through WORD.MEANING_BASIC in the canonical contract. The row is approved for enrichment only and does not change any safety gate.	basic_noun_recognition	eligible_candidate_for_yossi_question_review	Verified token-level 3.01 vocabulary standards mapping is clean enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_027	data/source_skill_enrichment/standards_candidates/bereishis_1_1_to_1_5_token_split_standards_candidates.tsv	stdtok_b1_5_r020_t003	token_split_standards	Bereishis 1:5	ל	לאור יום	PREFIX.BASIC_PREPOSITIONS	3.06	needs_follow_up	The prefixed ל on surface לאור is a plausible 3.06 token-level candidate mapped through PREFIX.BASIC_PREPOSITIONS, but the current evidence is still low-confidence. The row remains follow-up only until stronger prefix/preposition standards evidence is linked.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	medium	prefix_preposition_uncertain;thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_028	data/source_skill_enrichment/morphology_candidates/bereishis_1_6_to_1_13_morphology_candidates.tsv	morph_b1_6_r002_t001	morphology	Bereishis 1:6	יהי	יְהִי רָקִיעַ			needs_follow_up	Local word_bank references and Standard 3.07 materials suggest a future/jussive-style verb-form lane for יהי, but this slice still lacks a trusted token-level parse for the exact form. Keep as review-only morphology follow-up.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	high	future_jussive_uncertain;thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_029	data/source_skill_enrichment/morphology_candidates/bereishis_1_6_to_1_13_morphology_candidates.tsv	morph_b1_6_r004_t002	morphology	Bereishis 1:6	מבדיל	וִיהִי מַבְדִּיל			yossi_enrichment_verified	Local word_bank entries for מבדיל support a verb analysis with a present/participle-style reading, but the slice still needs Yossi review before any morphology details are treated as settled.	basic_verb_form_recognition	eligible_candidate_for_yossi_question_review	Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.	medium	verified_morphology_but_question_design_needed;requires_teacher_wording_review	needs_follow_up	Deferred. Basic verb-form candidates require a separate morphology-question wording standard before input-candidate approval.	needs_review	false	false	false
qelig_b1_030	data/source_skill_enrichment/morphology_candidates/bereishis_1_6_to_1_13_morphology_candidates.tsv	morph_b1_7_r007_t001	morphology	Bereishis 1:7	ויבדל	וַיַּבְדֵּל			needs_follow_up	Local word_bank entries and earlier curriculum preview references support a separated/separating verb reading for ויבדל, but the exact vav-hahipuch analysis still needs Yossi review before enrichment details are treated as stable.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	high	vav_hahipuch_uncertain;thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_031	data/source_skill_enrichment/morphology_candidates/bereishis_1_6_to_1_13_morphology_candidates.tsv	morph_b1_9_r014_t003	morphology	Bereishis 1:9	יקוו	וַיֹּאמֶר אֱלֹקִים יִקָּווּ הַמַּיִם			needs_follow_up	Local word_bank entries suggest a plural future-style verb reading for יקוו, and Standard 3.07 is the conservative standards lane for later review. The exact form still needs Yossi morphology review.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	high	future_jussive_uncertain;thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_032	data/source_skill_enrichment/morphology_candidates/bereishis_1_6_to_1_13_morphology_candidates.tsv	morph_b1_9_r017_t001	morphology	Bereishis 1:9	ותראה	וְתֵרָאֶה הַיַּבָּשָׁה			needs_follow_up	Local word_bank references make ותראה a useful morphology follow-up candidate, but the exact stem and tense/function still need stronger token-level evidence before this row can move beyond review-only follow-up.	not_recommended	needs_follow_up	Candidate remains unresolved in enrichment review and cannot be used for question-planning eligibility.	medium	thin_evidence;requires_teacher_wording_review	needs_follow_up	Still requires follow-up before any question-input candidate review.	needs_review	false	false	false
qelig_b1_033	data/source_skill_enrichment/morphology_candidates/bereishis_1_6_to_1_13_morphology_candidates.tsv	morph_b1_11_r023_t001	morphology	Bereishis 1:11	תדשא	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא			yossi_enrichment_verified	Local word_bank entries connect תדשא to the דשא lexical family and support a verb-form review lane. This is a controlled review-only morphology candidate and still needs Yossi confirmation before any enrichment detail is treated as settled.	basic_verb_form_recognition	eligible_candidate_for_yossi_question_review	Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.	medium	verified_morphology_but_question_design_needed;requires_teacher_wording_review	needs_follow_up	Deferred. Basic verb-form candidates require a separate morphology-question wording standard before input-candidate approval.	needs_review	false	false	false
qelig_b1_034	data/source_skill_enrichment/morphology_candidates/bereishis_1_6_to_1_13_morphology_candidates.tsv	morph_b1_11_r024_t002	morphology	Bereishis 1:11	מזריע	עֵשֶׂב מַזְרִיעַ זֶרַע			yossi_enrichment_verified	Local word_bank entries support treating מזריע as part of the זרע lexical family with a present/participle-style morphology lane. Keep this as review-only pending Yossi confirmation.	basic_verb_form_recognition	eligible_candidate_for_yossi_question_review	Verified morphology appears clean enough for later review as a basic visible verb-form input candidate.	medium	verified_morphology_but_question_design_needed;requires_teacher_wording_review	needs_follow_up	Deferred. Basic verb-form candidates require a separate morphology-question wording standard before input-candidate approval.	needs_review	false	false	false
qelig_b1_035	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_6_to_1_13_vocabulary_shoresh_candidates.tsv	vocab_b1_6_r002_t002	vocabulary_shoresh	Bereishis 1:6	רקיע	יְהִי רָקִיעַ			yossi_enrichment_verified	The batch_002 manual review packet explicitly notes רקיע as expanse/firmament/sky, and local word_bank entries preserve the lemma. No exact reviewed First 150 row is linked yet, so this remains a review-only vocabulary candidate.	vocabulary_meaning	eligible_candidate_for_yossi_question_review	Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_036	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_6_to_1_13_vocabulary_shoresh_candidates.tsv	vocab_b1_8_r011_t002	vocabulary_shoresh	Bereishis 1:8	שמים	וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם			yossi_enrichment_verified	The local vocabulary priority pack includes שמים, and word_bank entries preserve the lexical form. This is enough for a review-only noun-vocabulary candidate, but not enough to treat it as approved or question-ready.	vocabulary_meaning	eligible_candidate_for_yossi_question_review	Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_037	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_6_to_1_13_vocabulary_shoresh_candidates.tsv	vocab_b1_10_r020_t004	vocabulary_shoresh	Bereishis 1:10	ימים	וּלְמִקְוֵה הַמַּיִם קָרָא יַמִּים			needs_follow_up	The slice translation supports ימים as seas/oceans in context, and local word_bank entries preserve the lexical form. Because the evidence is still mostly contextual, keep this candidate as follow-up only.	not_recommended	blocked_for_questions	High-risk conceptual/theological wording is not suitable for mechanics questions without separate teacher direction.	high	sensitive_conceptual_context;requires_teacher_wording_review	block_for_questions	Blocked for future question use in this audit layer.	needs_review	false	false	false
qelig_b1_038	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_6_to_1_13_vocabulary_shoresh_candidates.tsv	vocab_b1_11_r023_t003	vocabulary_shoresh	Bereishis 1:11	דשא	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא			yossi_enrichment_verified	Local word_bank entries preserve the lexical form דשא, and the source slice gives a stable vegetation/grass context. This is a useful review-only vocabulary candidate pending Yossi review.	vocabulary_meaning	eligible_candidate_for_yossi_question_review	Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_039	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_6_to_1_13_vocabulary_shoresh_candidates.tsv	vocab_b1_11_r024_t003	vocabulary_shoresh	Bereishis 1:11	זרע	עֵשֶׂב מַזְרִיעַ זֶרַע			yossi_enrichment_verified	The local vocabulary priority pack includes זרע, and word_bank entries preserve the lexical form. This is strong enough for a review-only vocabulary candidate, but not for any later approval gate.	vocabulary_meaning	eligible_candidate_for_yossi_question_review	Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
qelig_b1_040	data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_6_to_1_13_vocabulary_shoresh_candidates.tsv	vocab_b1_11_r025_t002	vocabulary_shoresh	Bereishis 1:11	פרי	עֵץ פְּרִי עֹשֶׂה פְּרִי			yossi_enrichment_verified	Local word_bank entries preserve the lexical form פרי, and the source slice provides a clean fruit context. This remains a review-only vocabulary candidate pending Yossi review.	vocabulary_meaning	eligible_candidate_for_yossi_question_review	Verified clean vocabulary evidence is scoped enough for later Yossi question-eligibility review.	low	clean_token_level_vocabulary;requires_teacher_wording_review	approve_as_input_candidate	Approved as future input candidate only. This is not question approval or protected-preview approval.	needs_review	false	false	false
