row_id,ref,hebrew_phrase,linear_translation,metsudah_context,koren_context,skill_primary,skill_secondary,current_status,issue_type,what_to_check,recommended_default_decision,yossi_decision,yossi_notes
bereishis_3_17_to_3_24_source_to_skill_map_row_002,Bereishis 3:17,כִּי שָׁמַעְתָּ לְקוֹל אִשְׁתֶּךָ,because you listened to the voice of your woman,"To the man He said, Because you listened to your wife, and ate from the tree which I commanded you, saying, Do not eat from it; the soil will be cursed because of you. In sorrow you shall eat from it all the days of your life.","And to the man He said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_003,Bereishis 3:17,וַתֹּאכַל מִן הָעֵץ,and you ate from the tree,"To the man He said, Because you listened to your wife, and ate from the tree which I commanded you, saying, Do not eat from it; the soil will be cursed because of you. In sorrow you shall eat from it all the days of your life.","And to the man He said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_004,Bereishis 3:17,אֲשֶׁר צִוִּיתִיךָ לֵאמֹר,that I commanded you to say,"To the man He said, Because you listened to your wife, and ate from the tree which I commanded you, saying, Do not eat from it; the soil will be cursed because of you. In sorrow you shall eat from it all the days of your life.","And to the man He said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_005,Bereishis 3:17,לֹא תֹאכַל מִמֶּנּוּ,do not eat from it,"To the man He said, Because you listened to your wife, and ate from the tree which I commanded you, saying, Do not eat from it; the soil will be cursed because of you. In sorrow you shall eat from it all the days of your life.","And to the man He said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_006,Bereishis 3:17,אֲרוּרָה הָאֲדָמָה בַּעֲבוּרֶךָ,the land is cursed because of you,"To the man He said, Because you listened to your wife, and ate from the tree which I commanded you, saying, Do not eat from it; the soil will be cursed because of you. In sorrow you shall eat from it all the days of your life.","And to the man He said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_008,Bereishis 3:17,כֹּל יְמֵי חַיֶּיךָ,all the days of your life,"To the man He said, Because you listened to your wife, and ate from the tree which I commanded you, saying, Do not eat from it; the soil will be cursed because of you. In sorrow you shall eat from it all the days of your life.","And to the man He said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_010,Bereishis 3:18,וְאָכַלְתָּ אֶת עֵשֶׂב הַשָּׂדֶה,and you will eat the grass of the field,It will grow thorns and thistles for you; and you will eat the herbs of the field.,thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;,phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_011,Bereishis 3:19,בְּזֵעַת אַפֶּיךָ,with the sweat of your face,"By the sweat of your face you will eat bread, until you return to the ground for from it [the ground] were you taken. For you are dust and to dust you shall return.","in the sweat of thy face shalt thou eat bread, till thou return to the ground; for out of it wast thou taken: for dust thou art, and to dust shalt thou return.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_012,Bereishis 3:19,תֹּאכַל לֶחֶם,you will eat bread,"By the sweat of your face you will eat bread, until you return to the ground for from it [the ground] were you taken. For you are dust and to dust you shall return.","in the sweat of thy face shalt thou eat bread, till thou return to the ground; for out of it wast thou taken: for dust thou art, and to dust shalt thou return.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_014,Bereishis 3:19,כִּי מִמֶּנָּה לֻקָּחְתָּ,because from her you were taken,"By the sweat of your face you will eat bread, until you return to the ground for from it [the ground] were you taken. For you are dust and to dust you shall return.","in the sweat of thy face shalt thou eat bread, till thou return to the ground; for out of it wast thou taken: for dust thou art, and to dust shalt thou return.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_015,Bereishis 3:19,כִּי עָפָר אַתָּה,because you are soil,"By the sweat of your face you will eat bread, until you return to the ground for from it [the ground] were you taken. For you are dust and to dust you shall return.","in the sweat of thy face shalt thou eat bread, till thou return to the ground; for out of it wast thou taken: for dust thou art, and to dust shalt thou return.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_021,Bereishis 3:21,וַיַּעַשׂ יְהוָה אֱלֹהִים,and Hashem made,And Adonoy Elohim made for Adam and his wife leather coats and He clothed them.,"For the man also and for his wife did the Lord God make coats of skins, and clothed them.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_022,Bereishis 3:21,לְאָדָם וּלְאִשְׁתּוֹ,for Adam and his woman,And Adonoy Elohim made for Adam and his wife leather coats and He clothed them.,"For the man also and for his wife did the Lord God make coats of skins, and clothed them.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_023,Bereishis 3:21,כָּתְנוֹת עוֹר,robes of leather,And Adonoy Elohim made for Adam and his wife leather coats and He clothed them.,"For the man also and for his wife did the Lord God make coats of skins, and clothed them.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_024,Bereishis 3:21,וַיַּלְבִּשֵׁם,and He clothed them,And Adonoy Elohim made for Adam and his wife leather coats and He clothed them.,"For the man also and for his wife did the Lord God make coats of skins, and clothed them.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_025,Bereishis 3:22,וַיֹּאמֶר יְהוָה אֱלֹהִים,and Hashem said,"Adonoy Elohim said, Behold, the man has become like one of us to know [what is] good and [what is] evil. Now he must be prevented from reaching out his hand and also taking from the Tree of Life and eat [from it] and live forever.","And the Lord God said, Behold, the man is become like one of Us, knowing good and evil: and now, what if he put forth his hand, and take also of the tree of life, and eating, live for ever:",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_027,Bereishis 3:22,לָדַעַת טוֹב וָרָע,to know good and bad,"Adonoy Elohim said, Behold, the man has become like one of us to know [what is] good and [what is] evil. Now he must be prevented from reaching out his hand and also taking from the Tree of Life and eat [from it] and live forever.","And the Lord God said, Behold, the man is become like one of Us, knowing good and evil: and now, what if he put forth his hand, and take also of the tree of life, and eating, live for ever:",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_028,Bereishis 3:22,וְעַתָּה פֶּן יִשְׁלַח יָדוֹ,and now lest he send his hand,"Adonoy Elohim said, Behold, the man has become like one of us to know [what is] good and [what is] evil. Now he must be prevented from reaching out his hand and also taking from the Tree of Life and eat [from it] and live forever.","And the Lord God said, Behold, the man is become like one of Us, knowing good and evil: and now, what if he put forth his hand, and take also of the tree of life, and eating, live for ever:",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_029,Bereishis 3:22,וְלָקַח גַּם מֵעֵץ הַחַיִּים,and take also from the tree of life,"Adonoy Elohim said, Behold, the man has become like one of us to know [what is] good and [what is] evil. Now he must be prevented from reaching out his hand and also taking from the Tree of Life and eat [from it] and live forever.","And the Lord God said, Behold, the man is become like one of Us, knowing good and evil: and now, what if he put forth his hand, and take also of the tree of life, and eating, live for ever:",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_030,Bereishis 3:22,וְאָכַל וָחַי לְעֹלָם,and he will eat and live forever,"Adonoy Elohim said, Behold, the man has become like one of us to know [what is] good and [what is] evil. Now he must be prevented from reaching out his hand and also taking from the Tree of Life and eat [from it] and live forever.","And the Lord God said, Behold, the man is become like one of Us, knowing good and evil: and now, what if he put forth his hand, and take also of the tree of life, and eating, live for ever:",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_031,Bereishis 3:23,וַיְשַׁלְּחֵהוּ יְהוָה אֱלֹהִים מִגַּן עֵדֶן,and Hashem sent him from Gan Eden,"[Therefore] Adonoy Elohim sent him out of the Garden of Eden, to till the soil from which he was taken.","therefore the Lord God sent him out of the garden of ῾Eden, to till the ground from whence he was taken.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_032,Bereishis 3:23,לַעֲבֹד אֶת הָאֲדָמָה,to work the ground,"[Therefore] Adonoy Elohim sent him out of the Garden of Eden, to till the soil from which he was taken.","therefore the Lord God sent him out of the garden of ῾Eden, to till the ground from whence he was taken.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_033,Bereishis 3:23,אֲשֶׁר לֻקַּח מִשָּׁם,that he was taken from there,"[Therefore] Adonoy Elohim sent him out of the Garden of Eden, to till the soil from which he was taken.","therefore the Lord God sent him out of the garden of ῾Eden, to till the ground from whence he was taken.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_034,Bereishis 3:24,וַיְגָרֶשׁ אֶת הָאָדָם,and He chased out the person,"He banished the man [from the Garden] and at the east of the Garden of Eden He stationed the Cherubim and the flame of the rotating sword, to guard the way to the Tree of Life.","So He drove out the man; and He placed the keruvim at the east of the garden of ῾Eden, and the bright blade of a revolving sword to guard the way to the tree of life.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_035,Bereishis 3:24,וַיַּשְׁכֵּן מִקֶּדֶם לְגַן עֵדֶן,and He caused to rest on the East of Gan Eden,"He banished the man [from the Garden] and at the east of the Garden of Eden He stationed the Cherubim and the flame of the rotating sword, to guard the way to the Tree of Life.","So He drove out the man; and He placed the keruvim at the east of the garden of ῾Eden, and the bright blade of a revolving sword to guard the way to the tree of life.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_036,Bereishis 3:24,אֶת הַכְּרֻבִים,the scary Mal'achim,"He banished the man [from the Garden] and at the east of the Garden of Eden He stationed the Cherubim and the flame of the rotating sword, to guard the way to the Tree of Life.","So He drove out the man; and He placed the keruvim at the east of the garden of ῾Eden, and the bright blade of a revolving sword to guard the way to the tree of life.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_037,Bereishis 3:24,וְאֵת לַהַט הַחֶרֶב הַמִּתְהַפֶּכֶת,and the sharpness of the sword which turns itself over,"He banished the man [from the Garden] and at the east of the Garden of Eden He stationed the Cherubim and the flame of the rotating sword, to guard the way to the Tree of Life.","So He drove out the man; and He placed the keruvim at the east of the garden of ῾Eden, and the bright blade of a revolving sword to guard the way to the tree of life.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
bereishis_3_17_to_3_24_source_to_skill_map_row_038,Bereishis 3:24,לִשְׁמֹר אֶת דֶּרֶךְ עֵץ הַחַיִּים,to guard the way of the tree of life,"He banished the man [from the Garden] and at the east of the Garden of Eden He stationed the Cherubim and the flame of the rotating sword, to guard the way to the Tree of Life.","So He drove out the man; and He placed the keruvim at the east of the garden of ῾Eden, and the bright blade of a revolving sword to guard the way to the tree of life.",phrase_translation,translation_context,pending_yossi_extraction_accuracy_pass,phrase_boundary_check;source_only_recommended,Confirm Hebrew-English phrase alignment against the trusted source. Keep source-only unless a separate future question/protected-preview gate approves use.,verified,,
