row_id,ref,hebrew_word_or_phrase,source_translation_metsudah,secondary_translation_koren,skill_primary,skill_secondary,zekelman_standard,current_review_status,uncertainty_reason,issue_flag,yossi_decision,yossi_notes
S2S-BER-1-1-1-5-011,Bereishis 1:2,על פני המים,"The earth was unformed and desolate, and (there was) darkness over the surface of the abyss. The breath of Elohim hovered above the surface of the water.",And the earth was without form and void; and darkness was on the face of the deep. And a wind from God moved over the surface of the waters.,phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-012,Bereishis 1:3,ויאמר אלקים,"Elohim said, Let there be light. and there was light.","And God said, Let there be light: and there was light.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-013,Bereishis 1:3,יהי אור,"Elohim said, Let there be light. and there was light.","And God said, Let there be light: and there was light.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-014,Bereishis 1:3,ויהי אור,"Elohim said, Let there be light. and there was light.","And God said, Let there be light: and there was light.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-015,Bereishis 1:4,וירא אלקים את האור,"Elohim saw that the light was good, and Elohim divided the light from the darkness.","And God saw the light, that it was good: and God divided the light from the darkness.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-016,Bereishis 1:4,כי טוב,"Elohim saw that the light was good, and Elohim divided the light from the darkness.","And God saw the light, that it was good: and God divided the light from the darkness.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-017,Bereishis 1:4,ויבדל אלקים,"Elohim saw that the light was good, and Elohim divided the light from the darkness.","And God saw the light, that it was good: and God divided the light from the darkness.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-018,Bereishis 1:4,בין האור ובין החשך,"Elohim saw that the light was good, and Elohim divided the light from the darkness.","And God saw the light, that it was good: and God divided the light from the darkness.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-019,Bereishis 1:5,ויקרא אלקים,"Elohim called the light day, and the darkness He called night. It became evening and it became morning, one day.","And God called the light Day, and the darkness He called Night. And there was evening and there was morning, one day.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-020,Bereishis 1:5,לאור יום,"Elohim called the light day, and the darkness He called night. It became evening and it became morning, one day.","And God called the light Day, and the darkness He called Night. And there was evening and there was morning, one day.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-021,Bereishis 1:5,ולחשך קרא לילה,"Elohim called the light day, and the darkness He called night. It became evening and it became morning, one day.","And God called the light Day, and the darkness He called Night. And there was evening and there was morning, one day.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-022,Bereishis 1:5,ויהי ערב ויהי בקר,"Elohim called the light day, and the darkness He called night. It became evening and it became morning, one day.","And God called the light Day, and the darkness He called Night. And there was evening and there was morning, one day.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
S2S-BER-1-1-1-5-023,Bereishis 1:5,יום אחד,"Elohim called the light day, and the darkness He called night. It became evening and it became morning, one day.","And God called the light Day, and the darkness He called Night. And there was evening and there was morning, one day.",phrase_translation,translation_context,,pending_yossi_extraction_accuracy_pass,"Morphology fields, Zekelman standard mapping, difficulty, and question-type eligibility are not safely row-level consolidated yet.",uncertainty_reason; standards_mapping_uncertain,,
