candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_translation	proposed_shoresh_or_keyword	proposed_vocabulary_category	first_150_match	first_150_entry_id	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
vocab_b1_24_r009_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_009	Bereishis 1:25	וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ	4	האדמה	אדמה	ground/soil	אדמה	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_009; data/word_bank.json:האדמה	verified_source_to_skill_map; word_bank	Ground token candidate for review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r012_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_012	Bereishis 1:26	נַעֲשֶׂה אָדָם	2	אדם	אדם	human	אדם	noun_vocabulary	yes	first150_004	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_012; data/word_bank.json:אדם	verified_source_to_skill_map; word_bank	Core noun token with strong relevance.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r013_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_013	Bereishis 1:26	בְּצַלְמֵנוּ כִּדְמוּתֵנוּ	1	בצלמנו	צלם	in our image	צלם	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_013; data/word_bank.json:בצלמנו	verified_source_to_skill_map; word_bank	Compound prepositional form is context-heavy; keep follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Compound prepositional form is context-heavy; keep follow-up.	needs_review	false	false	false
vocab_b1_24_r014_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_014	Bereishis 1:26	וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	2	דגת	דגה	fish of	דגה	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014; data/word_bank.json:דגת	verified_source_to_skill_map; word_bank	Construct token depends on context; keep follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Construct token depends on context; keep follow-up.	needs_review	false	false	false
vocab_b1_24_r014_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_014	Bereishis 1:26	וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	4	הים	ים	sea	ים	noun_vocabulary	yes	first150_072	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014; data/word_bank.json:הים	verified_source_to_skill_map; word_bank	Sea token has local vocabulary support.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r014_t003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_014	Bereishis 1:26	וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	6	עוף	עוף	bird/flying creature	עוף	noun_vocabulary	yes	first150_116	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014; data/word_bank.json:עוף	verified_source_to_skill_map; word_bank	High-value noun token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r014_t004	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_014	Bereishis 1:26	וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	7	השמים	שמים	heavens/sky	שמים	noun_vocabulary	yes	first150_132	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014; data/word_bank.json:השמים	verified_source_to_skill_map; word_bank	High-value noun token with prior slice evidence.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r018_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_018	Bereishis 1:27	זָכָר וּנְקֵבָה בָּרָא אֹתָם	1	זכר	זכר	male	זכר	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_018; data/word_bank.json:זכר	verified_source_to_skill_map; word_bank	Stable lexical token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r018_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_018	Bereishis 1:27	זָכָר וּנְקֵבָה בָּרָא אֹתָם	3	נקבה	נקבה	female	נקבה	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_018; data/word_bank.json:נקבה	verified_source_to_skill_map; word_bank	Stable lexical token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r020_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_020	Bereishis 1:28	פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ	5	הארץ	ארץ	earth/land	ארץ	noun_vocabulary	yes	first150_078	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020; data/word_bank.json:הארץ	verified_source_to_skill_map; word_bank	Repeated high-value noun token.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r022_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_022	Bereishis 1:28	וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	3	דגת	דגה	fish of	דגה	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022; data/word_bank.json:דגת	verified_source_to_skill_map; word_bank	Construct noun token remains follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Construct noun token remains follow-up.	needs_review	false	false	false
vocab_b1_24_r022_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_022	Bereishis 1:28	וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	5	הים	ים	sea	ים	noun_vocabulary	yes	first150_072	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022; data/word_bank.json:הים	verified_source_to_skill_map; word_bank	Repeated noun token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r022_t003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_022	Bereishis 1:28	וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	7	עוף	עוף	bird/flying creature	עוף	noun_vocabulary	yes	first150_116	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022; data/word_bank.json:עוף	verified_source_to_skill_map; word_bank	Repeated noun token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r022_t004	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_022	Bereishis 1:28	וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם	8	השמים	שמים	heavens/sky	שמים	noun_vocabulary	yes	first150_132	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022; data/word_bank.json:השמים	verified_source_to_skill_map; word_bank	Repeated noun token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r023_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_023	Bereishis 1:28	וּבְכָל חַיָּה הָרֹמֶשֶׂת עַל הָאָרֶץ	3	חיה	חיה	living creature	חיה	noun_vocabulary	yes	first150_050	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_023; data/word_bank.json:חיה	verified_source_to_skill_map; word_bank	Repeated noun token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r023_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_023	Bereishis 1:28	וּבְכָל חַיָּה הָרֹמֶשֶׂת עַל הָאָרֶץ	6	הארץ	ארץ	earth/land	ארץ	noun_vocabulary	yes	first150_078	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_023; data/word_bank.json:הארץ	verified_source_to_skill_map; word_bank	Repeated noun token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r026_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_026	Bereishis 1:29	אֶת כָּל עֵשֶׂב זֹרֵעַ זֶרַע	3	עשב	עשב	grass/herb	עשב	noun_vocabulary	yes	first150_119	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_026; data/word_bank.json:עשב	verified_source_to_skill_map; word_bank	Vocabulary token with local seed support.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r026_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_026	Bereishis 1:29	אֶת כָּל עֵשֶׂב זֹרֵעַ זֶרַע	5	זרע	זרע	seed	זרע	noun_vocabulary	yes	first150_140	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_026; data/word_bank.json:זרע	verified_source_to_skill_map; word_bank	High-value noun token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r028_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_028	Bereishis 1:29	וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע	4	העץ	עץ	tree	עץ	noun_vocabulary	yes	first150_113	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_028; data/word_bank.json:העץ	verified_source_to_skill_map; word_bank	Tree token candidate from provision phrase.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r028_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_028	Bereishis 1:29	וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע	8	פרי	פרי	fruit	פרי	noun_vocabulary	yes	first150_110	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_028; data/word_bank.json:פרי	verified_source_to_skill_map; word_bank	Fruit token candidate with local seed support.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r028_t003	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_028	Bereishis 1:29	וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע	11	זרע	זרע	seed	זרע	noun_vocabulary	yes	first150_140	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_028; data/word_bank.json:זרע	verified_source_to_skill_map; word_bank	Repeated seed token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r029_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_029	Bereishis 1:29	לָכֶם יִהְיֶה לְאָכְלָה	4	לאכלה	אכלה	for food	אכל	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_029; data/word_bank.json:לאכלה	verified_source_to_skill_map; word_bank	Inflected/prepositional token is context-heavy; keep follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Inflected/prepositional token is context-heavy; keep follow-up.	needs_review	false	false	false
vocab_b1_24_r032_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_032	Bereishis 1:30	וּלְכֹל רוֹמֵשׂ עַל הָאָרֶץ אֲשֶׁר בּוֹ נֶפֶשׁ חַיָּה	8	נפש	נפש	living being/soul	נפש	noun_vocabulary	yes	first150_101	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_032; data/word_bank.json:נפש	verified_source_to_skill_map; word_bank	Nefesh token candidate in repeated context.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r032_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_032	Bereishis 1:30	וּלְכֹל רוֹמֵשׂ עַל הָאָרֶץ אֲשֶׁר בּוֹ נֶפֶשׁ חַיָּה	9	חיה	חיה	living creature	חיה	noun_vocabulary	yes	first150_050	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_032; data/word_bank.json:חיה	verified_source_to_skill_map; word_bank	Chayah token candidate in repeated context.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r033_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_033	Bereishis 1:30	אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה	3	ירק	ירק	greens/vegetation	ירק	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_033; data/word_bank.json:ירק	verified_source_to_skill_map; word_bank	Useful noun vocabulary token for review.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r033_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_033	Bereishis 1:30	אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה	4	עשב	עשב	grass/herb	עשב	noun_vocabulary	yes	first150_119	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_033; data/word_bank.json:עשב	verified_source_to_skill_map; word_bank	Repeated עשב token candidate.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r036_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_036	Bereishis 1:31	וְהִנֵּה טוֹב מְאֹד	2	טוב	טוב	good	טוב	adjective_vocabulary	yes	first150_099	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_036; data/word_bank.json:טוב	verified_source_to_skill_map; word_bank	Adjective token is common and reviewable.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r037_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_037	Bereishis 1:31	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	2	ערב	ערב	evening	ערב	noun_vocabulary	yes	first150_024	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_037; data/word_bank.json:ערב	verified_source_to_skill_map; word_bank	Evening token from day-formula phrase.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
vocab_b1_24_r037_t002	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_037	Bereishis 1:31	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	4	בקר	בקר	morning	בקר	noun_vocabulary	no		data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_037; data/word_bank.json:בקר	verified_source_to_skill_map; word_bank	Morning token flagged as contextual/thin evidence follow-up.	low	needs_follow_up	needs_follow_up	Yossi kept this candidate as needs_follow_up: Morning token flagged as contextual/thin evidence follow-up.	needs_review	false	false	false
vocab_b1_24_r038_t001	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv	row_038	Bereishis 1:31	יוֹם הַשִּׁשִּׁי	1	יום	יום	day	יום	noun_vocabulary	yes	first150_146	data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_038; data/word_bank.json:יום	verified_source_to_skill_map; word_bank	Day token candidate from closing phrase.	medium	yossi_enrichment_verified	verified	Yossi verified this enrichment candidate for enrichment use only. This is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.	needs_review	false	false	false
